,Unnamed: 0,GID_0,GID_1_2,NAME_0,Province,began,ended,Year,month,duration,disaster,Damages USD,Deaths,N_D_USD,N_Deaths,Date,Days
0,0,PHL,PHL.1_1,Philippines,Abra,2019-12-24,2019-12-28,2019.0,2019-12,4 days,Tropical Cyclone,1708915.2718092704,6.8478260869565215,15722020.500645287,63.0,2019-12-24,8
1,13,PHL,PHL.1_1,Philippines,Abra,2019-07-18,2019-07-18,2019.0,2019-07,0 days,Tropical Cyclone,31453374.34679408,0.3333333333333333,377440492.1615289,4.0,2019-07-18,86
2,29,PHL,PHL.1_1,Philippines,Abra,2018-10-30,2018-10-30,2018.0,2018-10,0 days,Tropical Cyclone,22387874.049596395,0.8219459961562648,331340535.93402666,12.16480074311272,2018-10-30,40
3,48,PHL,PHL.1_1,Philippines,Abra,2018-09-19,2018-09-19,2018.0,2018-09,0 days,Tropical Cyclone,1146715.8802816952,0.2815926097942759,20640885.845070515,5.068666976296968,2018-09-19,2
4,71,PHL,PHL.1_1,Philippines,Abra,2018-09-16,2018-09-16,2018.0,2018-09,0 days,Tropical Cyclone,4971349.596053713,12.164800743112725,34799447.17237599,85.15360520178906,2018-09-16,56
5,79,PHL,PHL.1_1,Philippines,Abra,2018-07-17,2018-07-21,2018.0,2018-07,4 days,Tropical Cyclone,1355028.1942421794,0.0,28184586.44023733,,2018-07-17,150
6,107,PHL,PHL.1_1,Philippines,Abra,2017-07-25,2017-07-27,2017.0,2017-07,2 days,Tropical Cyclone,19301.94550662133,0.0,200740.23326886183,,2017-07-25,18
7,120,PHL,PHL.1_1,Philippines,Abra,2015-10-14,2015-10-20,2015.0,2015-10,6 days,Tropical Cyclone,11900017.370078882,2.4769896119512187,259420378.6677196,53.99837354053656,2015-10-14,11
8,149,PHL,PHL.1_1,Philippines,Abra,2015-07-12,2015-07-12,2015.0,2015-07,0 days,Tropical Cyclone,167668346.9533936,0.481268926386244,1844351816.4873288,5.293958190248684,2015-07-12,1
9,165,PHL,PHL.1_1,Philippines,Abra,2012-07-31,2012-08-07,2012.0,2012-07,7 days,Tropical Cyclone,1287210.0408425708,5.864149315086527,14159310.44926828,64.5056424659518,2012-07-31,47
10,178,PHL,PHL.1_1,Philippines,Abra,2011-09-24,2011-09-24,2011.0,2011-09,0 days,Tropical Cyclone,42672929.166789055,8.567792831606969,580351836.6683311,116.52198250985478,2011-09-24,4
11,195,PHL,PHL.1_1,Philippines,Abra,2009-09-29,2009-10-10,2009.0,2009-09,11 days,Tropical Cyclone,94367606.13638651,36.08409370942272,1566502261.864016,598.9959555764171,2009-09-29,1
12,215,PHL,PHL.1_1,Philippines,Abra,2008-07-28,2008-07-29,2008.0,2008-07,1 days,Tropical Cyclone,38273.79295803877,4.574523054758878,99511.8616909008,11.893759942373084,2008-07-28,9
13,218,PHL,PHL.1_1,Philippines,Abra,2000-07-07,2000-07-07,2000.0,2000-07,0 days,Tropical Cyclone,15440190.94099528,7.876460131761831,203810520.4211377,103.96927373925617,2000-07-07,0
14,238,PHL,PHL.1_1,Philippines,Abra,1996-07-15,1996-07-15,1996.0,1996-07,0 days,Tropical Cyclone,33820643.38619703,5.047337379181939,263801018.4123369,39.36923155761913,1996-07-15,200
15,248,PHL,PHL.1_1,Philippines,Abra,1994-07-10,1994-07-16,1994.0,1994-07,6 days,Tropical Cyclone,2755687.416464137,7.094067169512379,10471612.18256372,26.95745524414704,1994-07-10,2
16,252,PHL,PHL.1_1,Philippines,Abra,1989-10-14,1989-10-14,1989.0,1989-10,0 days,Tropical Cyclone,70974727.82505849,4.97713147324686,766527060.5106318,53.7530199110661,1989-10-14,4
17,266,PHL,PHL.1_1,Philippines,Abra,1989-09-07,1989-09-07,1989.0,1989-09,0 days,Tropical Cyclone,17242447.999364443,7.299792827428728,93109219.196568,39.418881268115136,1989-09-07,23
18,273,PHL,PHL.1_1,Philippines,Abra,1985-06-20,1985-06-20,1985.0,1985-06,0 days,Tropical Cyclone,99922613.12721024,29.29389481357344,679473769.2650295,199.19848473229936,1985-06-20,144
19,281,PHL,PHL.2_1,Philippines,Agusan del Norte,2018-02-12,2018-02-16,2018.0,2018-02,4 days,Tropical Cyclone,125854.06066408436,0.0,3335132.607598236,,2018-02-12,25
20,298,PHL,PHL.2_1,Philippines,Agusan del Norte,2018-01-01,2018-01-03,2018.0,2018-01,2 days,Tropical Cyclone,989153.094766498,0.2252740878354207,13353566.779347723,3.04120018577818,2018-01-01,5
21,309,PHL,PHL.2_1,Philippines,Agusan del Norte,2017-10-18,2017-10-20,2017.0,2017-10,2 days,Tropical Cyclone,433343.9956280192,1.0279857340930296,3900095.960652173,9.251871606837266,2017-10-18,32
22,317,PHL,PHL.2_1,Philippines,Agusan del Norte,2014-12-12,2014-12-12,2014.0,2014-12,0 days,Tropical Cyclone,2598903.6048802407,0.3488583562887879,144239150.07085335,19.36163877402773,2014-12-12,13
23,350,PHL,PHL.2_1,Philippines,Agusan del Norte,2014-01-19,2014-01-20,2014.0,2014-01,1 days,Tropical Cyclone,817841.1077541438,4.357747758256953,15947901.601205803,84.97608128601058,2014-01-19,71
24,371,PHL,PHL.2_1,Philippines,Agusan del Norte,2013-02-20,2013-02-21,2013.0,2013-02,1 days,Tropical Cyclone,120524.16069218492,0.3546505278698175,2229696.972805421,6.561034765591624,2013-02-20,27
25,388,PHL,PHL.2_1,Philippines,Agusan del Norte,2009-11-25,2009-11-25,2009.0,2009-11,0 days,Tropical Cyclone,16056.28341865408,2.33982795147038,32112.56683730816,4.67965590294076,2009-11-25,27
26,390,PHL,PHL.3_1,Philippines,Agusan del Sur,2014-12-12,2014-12-12,2014.0,2014-12,0 days,Tropical Cyclone,1299451.8024401204,0.1744291781443939,144239150.07085335,19.36163877402773,2014-12-12,13
27,423,PHL,PHL.3_1,Philippines,Agusan del Sur,2014-01-19,2014-01-20,2014.0,2014-01,1 days,Tropical Cyclone,408920.5538770719,2.1788738791284765,15947901.601205803,84.97608128601058,2014-01-19,71
28,444,PHL,PHL.3_1,Philippines,Agusan del Sur,2011-12-15,2011-12-18,2011.0,2011-12,3 days,Tropical Cyclone,4013417.424767016,101.74461943669964,64214678.79627225,1627.9139109871944,2011-12-15,27
29,453,PHL,PHL.3_1,Philippines,Agusan del Sur,2001-02-16,2001-02-19,2001.0,2001-02,3 days,Tropical Cyclone,2506528.310422064,5.767278076566912,10026113.241688255,23.069112306267648,2001-02-16,31
30,456,PHL,PHL.3_1,Philippines,Agusan del Sur,1994-04-09,1994-04-09,1994.0,1994-04,0 days,Tropical Cyclone,0.0,1.982165826775517,0.0,23.785989921306207,1994-04-09,8
31,460,PHL,PHL.4_1,Philippines,Aklan,2019-12-24,2019-12-28,2019.0,2019-12,4 days,Tropical Cyclone,1025349.1630855622,4.108695652173913,15722020.500645287,63.0,2019-12-24,8
32,473,PHL,PHL.4_1,Philippines,Aklan,2018-07-17,2018-07-21,2018.0,2018-07,4 days,Tropical Cyclone,813016.9165453077,0.0,28184586.44023733,,2018-07-17,150
33,501,PHL,PHL.4_1,Philippines,Aklan,2018-01-01,2018-01-03,2018.0,2018-01,2 days,Tropical Cyclone,1483729.642149747,0.3379111317531311,13353566.779347723,3.04120018577818,2018-01-01,5
34,512,PHL,PHL.4_1,Philippines,Aklan,2017-12-16,2017-12-18,2017.0,2017-12,2 days,Tropical Cyclone,3343650.2345014126,3.7924338568567166,82476705.78436817,93.54670180246568,2017-12-16,42
35,533,PHL,PHL.4_1,Philippines,Aklan,2014-12-12,2014-12-12,2014.0,2014-12,0 days,Tropical Cyclone,3898355.407320361,0.5232875344331819,144239150.07085335,19.36163877402773,2014-12-12,13
36,566,PHL,PHL.5_1,Philippines,Albay,2019-12-02,2019-12-03,2019.0,2019-12,1 days,Tropical Cyclone,5136524.344802513,0.188235294117647,109151142.3270534,4.0,2019-12-02,21
37,589,PHL,PHL.5_1,Philippines,Albay,2018-12-28,2018-12-31,2018.0,2018-12,3 days,Tropical Cyclone,5657192.520202343,8.99997453352242,115972446.66414803,184.4994779372096,2018-12-28,58
38,611,PHL,PHL.5_1,Philippines,Albay,2017-12-16,2017-12-18,2017.0,2017-12,2 days,Tropical Cyclone,4458200.31266855,5.056578475808956,82476705.78436817,93.54670180246568,2017-12-16,42
39,632,PHL,PHL.5_1,Philippines,Albay,2017-11-01,2017-11-03,2017.0,2017-11,2 days,Tropical Cyclone,0.0,0.8811306292225968,0.0,6.167914404558178,2017-11-01,11
40,639,PHL,PHL.5_1,Philippines,Albay,2015-01-19,2015-01-19,2015.0,2015-01,0 days,Tropical Cyclone,182158.2040975141,0.3137160409036256,1229567.8776582202,2.117583276099473,2015-01-19,18
41,646,PHL,PHL.5_1,Philippines,Albay,2014-12-12,2014-12-12,2014.0,2014-12,0 days,Tropical Cyclone,5197807.2097604815,0.6977167125775758,144239150.07085335,19.36163877402773,2014-12-12,13
42,679,PHL,PHL.5_1,Philippines,Albay,2011-06-21,2011-06-25,2011.0,2011-06,4 days,Tropical Cyclone,1669229.3579741083,1.7404328978320356,21699981.653663408,22.62562767181646,2011-06-21,1
43,692,PHL,PHL.5_1,Philippines,Albay,2011-05-20,2011-05-29,2011.0,2011-05,9 days,Tropical Cyclone,100242.94807536322,0.0,726761.3735463833,0.0,2011-05-20,8
44,702,PHL,PHL.5_1,Philippines,Albay,2009-10-28,2009-10-28,2009.0,2009-10,0 days,Tropical Cyclone,3068669.605392253,3.443520381409237,40659872.27144735,45.6266450536724,2009-10-28,17
45,716,PHL,PHL.5_1,Philippines,Albay,2009-09-29,2009-10-10,2009.0,2009-09,11 days,Tropical Cyclone,75494084.9091092,28.867274967538176,1566502261.864016,598.9959555764171,2009-09-29,1
